name,address,place_id,formatted_address,place_types,location,cuisines,rating,rating_count,cost_for_two,source
DRAGON'S KITCHEN CHINESE CUISINE,"DRAGON'S KITCHEN CHINESE CUISINE, 764/1 Vishal towers, 19th Main, 22nd Cross, 2nd Sector,  HSR Layout Bangalore 560102",ChIJD3_7SZoUrjsRUqUw3CeYFcQ,"No 764/1, Vishal Towers, 19th Main Rd, near HSR Club, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India","['chinese_restaurant', 'fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,Chinese,3.8,50.0,400.0,Swiggy
The Momo Lab,"The Momo Lab, 2318, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",ChIJvUBarhAVrjsRmOgfSSBNHAY,"2318, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['chinese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Chinese,Indian",4.3,50.0,250.0,Swiggy
Juice and Lassi Bar,"Juice and Lassi Bar, 396-400, 25th B Main Rd, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India",ChIJB0UxVwAVrjsRm-1B1j7NT2M,"WJ6W+RQQ, Vanganahalli, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['juice_shop', 'food', 'point_of_interest', 'establishment']",HSR,"Juices,Beverages",3.0,20.0,140.0,Swiggy
Hearty Treats,"Hearty Treats, Aaharmantra Foods Pvt Ltd, 8th Cross Road, 1st Sector, HSR Layout, Bengaluru, Karnataka, India",ChIJSfvQytoVrjsRqhNwtmXVZFU,"4, 14th Main Rd, next to HDFC Bank, Jakkasandra, Sector 5, HSR Layout, Bengaluru, Karnataka 560034, India","['brunch_restaurant', 'breakfast_restaurant', 'chinese_restaurant', 'fast_food_restaurant', 'vegetarian_restaurant', 'indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Healthy Food,Desserts",4.4,20.0,300.0,Swiggy
Toping Twist,"Toping Twist, 2713, 30st main road, HSR Layout, Sector-1, Bangalore South, Bangalore Urban, , Karnataka, 560102",ChIJnzDLgiQVrjsREip5phkR-Mw,"E117, 1, 22nd Cross Rd, opposite MDP Coffee House, Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India","['fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Chinese,Continental",4.4,50.0,199.0,Swiggy
Siro's Grillhouse,"Siro's Grillhouse, 3rd Floor Red Door, 628, 14th Cross Rd, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",ChIJWWqPZ_EUrjsRLL8U4fRjm9Y,"628, 14th Cross Rd, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India","['premise', 'street_address']",HSR,"Arabian,Turkish",2.9,20.0,250.0,Swiggy
The Sugar Free Keto Kafe - By Artinci,"The Sugar Free Keto Kafe - By Artinci, c/o Amata ,GF, 780, 19th Main Rd, 1st Sector, HSR Layout, Bengaluru, BTM Layout , B.B.M.P South, Karnataka - 560102",ChIJUYfdiZYRrjsR0-xnwm8LAAM,"32/4, Chummys Chalet, MTBJJV school road, Landmark, behind Spot on courier, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048, India","['dessert_shop', 'bakery', 'confectionery', 'wholesaler', 'food_store', 'food', 'point_of_interest', 'store', 'establishment']",HSR,"Ice Cream,Healthy Food",4.2,100.0,200.0,Swiggy
GOOD FETTLE HEALTHY ICE CREAM,"GOOD FETTLE HEALTHY ICE CREAM, Chiguru 346/A ground floor 17th A main road HSR sector 3, Bengaluru halasahalli thippasandra,anekal, bangalore urban, karnataka-560102",ChIJc0Uw0osVrjsRLgImPP1URgk,"22nd A Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India","['ice_cream_shop', 'dessert_shop', 'confectionery', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",HSR,"Ice Cream,Desserts",4.8,20.0,190.0,Swiggy
Big Bowl Company,"Big Bowl Company, No 1 120 14th Main Road 5th Sector HSR Layout Bangalore BBMPSouth 560102",ChIJWcMOsokUrjsRgPAutS8OUK8,"88/1, Ward No, 66, Sarjapur Road Village, Opp, Jakkasandra Bus Stop, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India","['meal_delivery', 'food_delivery', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Chinese",3.4,100.0,250.0,Swiggy
Paratha Envy,"Paratha Envy, No, 13/A, 1st Floor,18th Main, Sector 3, HSR Layout, BBMP South, Bangalore 560102",ChIJmaSiz0EVrjsRMtRWmox5S9A,"NO.14/22, 7th B Cross, N.S PALYA, Industrial Area, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India","['restaurant', 'food', 'point_of_interest', 'establishment']",HSR,North Indian,4.4,100.0,249.0,Swiggy
