name,address,location,cuisines,rating,rating_count,cost_for_two,source
UDUPI RUCHI GRAND,"UDUPI RUCHI GRAND, UDUPI RUCHI GRAND- Yeshwanthapura, Kanteerava Studio Main Road, 2nd Stage, Yeshwanthpur Industrial Suburb, Yeswanthpur, Bengaluru, Karnataka, India",Yeshwanthpur,"South Indian,Chinese",4.2,500.0,200.0,Swiggy
Jai Mataji Farsan and Sweets,"Jai Mataji Farsan and Sweets, NO.345-A, GROUND FLOOR, SHOP NO.3, 5TH MAIN ROAD, TRIVENI ROAD, K.N.EXTENSION, YESHWANTAPURA, BANGAL, District - B.B.M.P North, STATE - Karnataka-560022",Yeshwanthpur,"Sweets,Snacks",4.3,50.0,200.0,Swiggy
New Agarwal Bhavan,"New Agarwal Bhavan, 630 T. Dasarahalli NH 4 Bangalore 560057",Yeshwanthpur,"South Indian,North Indian",4.2,100.0,500.0,Swiggy
Naaan VEG OOTADA MANE,"Naaan VEG OOTADA MANE, 13, Nagaraj GN, 3rd cross , subedarpalya, Yeshwanthpur, Bengaluru (Bangalore) Urban, Karnataka",Yeshwanthpur,"North Indian,Chinese",2.4,50.0,300.0,Swiggy
Rolls Kitchen,"Rolls Kitchen, No 21, 1st Main, Near MS Ramaiah School, MSR Nagar, New BEL Road",Yeshwanthpur,Fast Food,4.1,100.0,250.0,Swiggy
Thalassery Restaurant,"Thalassery Restaurant, #3,MSRI Estate, RAMIAH HOSPITAL BACKGATE,MATHIKERE-54",Yeshwanthpur,"South Indian,Arabian",3.9,1000.0,300.0,Swiggy
Maarish Food Joint,"Maarish Food Joint, NO 28 OLD NO 35 6TH MAIN 4TH BLOCK NANDINI LAOUT BANGALORE WEST KARNATAKA",Yeshwanthpur,North Indian,3.7,20.0,200.0,Swiggy
Hyderabadi Biryani Store,"Hyderabadi Biryani Store, 38, MS Ramaiah Rd, Gokula 1st Stage, Mathikere Extension, Mathikere,560054",Yeshwanthpur,"Biryani,North Indian",3.6,20.0,300.0,Swiggy
Paratha Box by EatFit,"Paratha Box by EatFit, 1st Floor,State Bank of India, Mathikere, MS Ramaiah Rd, Gokula 1st Stage, HMT Layout, Mathikere, Bengaluru, Karnataka 560054",Yeshwanthpur,"North Indian,Punjabi",4.1,50.0,250.0,Swiggy
Dwarka,"Dwarka, No 35 and 36, kiadb complex, opp sbm peenya branch, 3rd phase, Bangalore",Yeshwanthpur,"South Indian,North Indian",4.1,20.0,300.0,Swiggy
HRX by Eatfit,"HRX by Eatfit, 1st Floor,State Bank of India, Mathikere, MS Ramaiah Rd, Gokula 1st Stage, HMT Layout, Mathikere, Bengaluru, Karnataka 560054",Yeshwanthpur,"Healthy Food,Pizzas",4.8,20.0,270.0,Swiggy
Venus Restaurant,"Venus Restaurant, 45/4, Above Bank off Baroda, Yeshwanthpur",Yeshwanthpur,"North Indian,Chinese",4.1,20.0,500.0,Swiggy
KFC,"KFC, KFC Restaurant, No.9/36,Vaishnavi Sapphire, Tumkur Road, Next to Yeshwanthpur Railway station, Yeshwanthpur,Bangalore-22",Yeshwanthpur,"American,Snacks",4.2,100.0,400.0,Swiggy
New Punjabi Veg Restaurant,"New Punjabi Veg Restaurant, Sai Shamika Plaza, MSR College Rd, A.K.Colony, Mathikere Extension, Devasandra Layout, Bengaluru, Karnataka 560054",Yeshwanthpur,"Chinese,North Indian",3.4,50.0,150.0,Swiggy
Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, PEENYA COOL CORNER: NO 1, HANUMAIAH BUILDING, S.R.S ROAD, YESHWANTHPUR, PEENYA 1ST STAGE, BANGALORE, KARNATAKA-560058",Yeshwanthpur,Ice Cream,4.5,50.0,300.0,Swiggy
Breakfast Express,"Breakfast Express, Site no 23,(Old no 18) situated at 1st main road,Ganesha block,Bangalore karnataka-560086",Yeshwanthpur,"Continental,North Indian",4.1,100.0,200.0,Swiggy
Holy Chic,"Holy Chic, 84, Industrial Suburb, Yeshwanthpur, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru, Karnataka 560022, India",Yeshwanthpur,Continental,4.4,20.0,700.0,Swiggy
PAPA ROLLS,"PAPA ROLLS, 13, Nagaraj GN, 3rd cross , subedarpalya, Yeshwanthpur,Bengaluru (Bangalore) Urban, Karnataka, 560022",Yeshwanthpur,"North Indian,Chinese",2.1,50.0,150.0,Swiggy
RICE SAMBAR,"RICE SAMBAR, #13 2nd cross subedarpalya MSR Main Road Yeshwanthpur Bangalore 560022",Yeshwanthpur,"South Indian,Chinese",2.1,20.0,400.0,Swiggy
Paris Family Restaurant,"Paris Family Restaurant, #25, Near Jamia Masjid, Shop No.25, Bazaar Street, Yeshwanthpura, Dr.Ambedkar Nagar, Yeshwanthpur, Bengaluru, Karnataka 560022",Yeshwanthpur,"Chinese,South Indian",3.8,20.0,400.0,Swiggy
PURVI FOOD,"PURVI FOOD, NO.03,HEGDE NAGAR, NEW SHANTHINAGAR,K NARAYANA PURA CROSS, SHABRI NAGAR GATE,BANGALORE, , K R Puram, B.B.M.P East, Karnataka-560077",Geddalahalli,"North Indian,Chinese",3.4,20.0,149.0,Swiggy
Maria Restaurant,"Maria Restaurant, Chokkanahalli Cross, Thirumenahalli Jakkur Post, Bangalore, Yelahanka, BBMP North, Karnataka 560064",Geddalahalli,"Beverages,Biryani",4.2,50.0,300.0,Swiggy
SLAY Coffee,"SLAY Coffee, No 36/7,1st Floor, L G Arcade, Geddalahalli Village, Hennur-Bagalur Main Road, Bangalore 560077 (Next to Brigade Hyper market)",Geddalahalli,"Beverages,Desserts",4.6,100.0,200.0,Swiggy
The Biryani Life,"The Biryani Life, No,36/7,1st Floor, L.G Arcade, Geddalahalli Village, Hennur-Bagalur Main Road, Bangalore-56077.",Geddalahalli,"Biryani,Hyderabadi",3.2,20.0,250.0,Swiggy
Burger It Up,"Burger It Up, #20, Ground Floor, Patel Rayappa Layout,Byrathi Cross Road, Hennur Main Road, Dr.SRKNagar, Bangalore, B.B.M.P North,Karnataka-560077",Geddalahalli,"American,Fast Food",4.2,20.0,150.0,Swiggy
Leon Grill,"Leon Grill, SY NO 125/2, Hennur Bagalur Main Road, Byrathi, Kothanur, Dr. Shivarama Karath Nagar Post, Bengaluru Urban, Karnataka. 560077",Geddalahalli,"American,Turkish",4.2,20.0,200.0,Swiggy
Calcutta victoria chat house,"Calcutta victoria chat house, NO 9/1, KATHA NO 563/1, BBMP KATHA NO 617/563/1, HENNUR BAGALUR MAIN ROAD, Dr SRK NAGAR POST, KOTHANUR, BANGALORE560077",Geddalahalli,"Chaat,North Indian",3.6,100.0,200.0,Swiggy
Thalassery Restaurant,"Thalassery Restaurant, #33/1, narayanapura main road, opp: icici bank, kothanur, banglore  560077",Geddalahalli,"South Indian,Arabian",4.1,500.0,300.0,Swiggy
Snack House,"Snack House, KHATA NO.102/1-102-5, ADDRESS:102/5, HENNUR-BAGALUR MAIN ROAD, BYRATI, BANGALORE., Hebbala , B.B.M.P North, Karnataka-560077",Geddalahalli,"Fast Food,Street Food",4.0,20.0,300.0,Swiggy
